Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.18,0.22,0.42,0.18
1,0.22,0.1,0.58,0.1
2,0.32,0.14,0.48,0.06
3,0.34,0.12,0.44,0.1
4,0.2,0.22,0.42,0.16
5,0.18,0.14,0.46,0.22
6,0.14,0.24,0.44,0.18
7,0.16,0.1,0.6,0.14
8,0.04,0.06,0.82,0.08
9,0.16,0.24,0.38,0.22
10,0.14,0.1,0.6,0.16
11,0.08,0.16,0.62,0.14
12,0.36,0.06,0.48,0.1
13,0.1,0.2,0.54,0.16
14,0.5,0.08,0.36,0.06
15,0.1,0.2,0.54,0.16
16,0.34,0.12,0.5,0.04
17,0.18,0.16,0.5,0.16
18,0.02,0.18,0.68,0.12
19,0.18,0.06,0.62,0.14
20,0.12,0.0,0.64,0.24
21,0.18,0.26,0.44,0.12
22,0.26,0.28,0.38,0.08
23,0.12,0.2,0.52,0.16
24,0.18,0.26,0.44,0.12
25,0.08,0.24,0.5,0.18
26,0.36,0.14,0.42,0.08
27,0.16,0.1,0.64,0.1
28,0.42,0.1,0.34,0.14
29,0.18,0.16,0.56,0.1
30,0.12,0.06,0.62,0.2
31,0.12,0.26,0.52,0.1
32,0.06,0.08,0.84,0.02
33,0.18,0.18,0.54,0.1
34,0.04,0.02,0.88,0.06
35,0.16,0.18,0.54,0.12
36,0.08,0.14,0.6,0.18
37,0.16,0.2,0.46,0.18
38,0.14,0.08,0.68,0.1
39,0.16,0.14,0.6,0.1
40,0.4,0.1,0.44,0.06
41,0.14,0.16,0.52,0.18
42,0.08,0.1,0.66,0.16
43,0.18,0.26,0.52,0.04
44,0.12,0.2,0.62,0.06
45,0.26,0.16,0.52,0.06
46,0.1,0.02,0.74,0.14
47,0.1,0.2,0.46,0.24
48,0.1,0.2,0.58,0.12
49,0.16,0.14,0.6,0.1
50,0.06,0.06,0.8,0.08
51,0.28,0.18,0.4,0.14
52,0.04,0.08,0.84,0.04
53,0.1,0.14,0.64,0.12
54,0.1,0.1,0.76,0.04
55,0.18,0.06,0.6,0.16
56,0.12,0.06,0.76,0.06
57,0.18,0.14,0.52,0.16
58,0.06,0.04,0.86,0.04
59,0.2,0.2,0.52,0.08
60,0.1,0.02,0.84,0.04
61,0.14,0.08,0.72,0.06
62,0.1,0.14,0.64,0.12
63,0.16,0.14,0.66,0.04
64,0.02,0.28,0.54,0.16
65,0.14,0.2,0.46,0.2
66,0.04,0.14,0.66,0.16
67,0.2,0.26,0.42,0.12
68,0.24,0.16,0.5,0.1
69,0.3,0.06,0.5,0.14
70,0.12,0.2,0.5,0.18
71,0.32,0.2,0.44,0.04
72,0.2,0.12,0.4,0.28
73,0.14,0.14,0.6,0.12
74,0.08,0.22,0.62,0.08
75,0.14,0.08,0.64,0.14
76,0.04,0.46,0.36,0.14
77,0.16,0.16,0.56,0.12
78,0.06,0.2,0.68,0.06
79,0.16,0.14,0.52,0.18
80,0.1,0.22,0.5,0.18
81,0.12,0.2,0.54,0.14
82,0.1,0.12,0.62,0.16
83,0.14,0.16,0.54,0.16
84,0.16,0.12,0.58,0.14
85,0.18,0.08,0.68,0.06
86,0.32,0.0,0.58,0.1
87,0.1,0.2,0.52,0.18
88,0.3,0.1,0.46,0.14
89,0.18,0.12,0.58,0.12
90,0.36,0.14,0.38,0.12
91,0.2,0.14,0.52,0.14
92,0.12,0.32,0.46,0.1
93,0.32,0.08,0.48,0.12
94,0.14,0.08,0.54,0.24
95,0.28,0.08,0.46,0.18
96,0.28,0.08,0.38,0.26
97,0.08,0.2,0.5,0.22
98,0.22,0.08,0.52,0.18
99,0.22,0.08,0.5,0.2
100,0.1,0.16,0.54,0.2
101,0.22,0.1,0.54,0.14
102,0.1,0.26,0.5,0.14
103,0.2,0.16,0.42,0.22
104,0.08,0.22,0.56,0.14
105,0.1,0.06,0.76,0.08
106,0.06,0.06,0.78,0.1
107,0.16,0.22,0.54,0.08
108,0.12,0.26,0.5,0.12
109,0.2,0.18,0.42,0.2
110,0.12,0.2,0.44,0.24
111,0.14,0.2,0.46,0.2
112,0.1,0.28,0.46,0.16
113,0.24,0.14,0.52,0.1
114,0.18,0.26,0.38,0.18
115,0.16,0.08,0.58,0.18
116,0.06,0.06,0.86,0.02
117,0.22,0.16,0.48,0.14
118,0.06,0.02,0.9,0.02
119,0.24,0.16,0.52,0.08
